customer_id,name,age,gender,phone
C001,Aarav Gupta,25,Male,9876543210
C002,Aisha Singh,32,Female,8765432109
C003,Arjun Patel,45,Male,7654321098
C004,Avni Sharma,28,Female,6543210987
C005,Aryan Kumar,19,Male,5432109876
C006,Anaya Verma,38,Female,4321098765
C007,Avinash Reddy,50,Male,3210987654
C008,Bhavya Kapoor,22,Female,2109876543
C009,Chirag Joshi,60,Male,1098765432
C010,Deepika Malhotra,29,Female,9876543210
C011,Dhruv Singhania,18,Male,8765432109
C012,Diya Gupta,35,Female,7654321098
C013,Eshaan Tiwari,42,Male,6543210987
C014,Fatima Khan,26,Female,5432109876
C015,Gaurav Verma,48,Male,4321098765
C016,Gayatri Patel,20,Female,3210987654
C017,Hrithik Singh,55,Male,2109876543
C018,Ishita Mehra,23,Female,1098765432
C019,Jai Sharma,68,Male,9876543210
C020,Jiya Yadav,30,Female,8765432109
C021,Kabir Kapoor,27,Male,7654321098
C022,Khushi Gupta,36,Female,6543210987
C023,Lakshay Malhotra,47,Male,5432109876
C024,Mahi Tiwari,21,Female,4321098765
C025,Manav Verma,58,Male,3210987654
C026,Meera Patel,19,Female,2109876543
C027,Mohit Sharma,44,Male,1098765432
C028,Naina Yadav,31,Female,9876543210
C029,Neel Kapoor,65,Male,8765432109
C030,Nikita Singh,24,Female,7654321098
C031,Parth Verma,33,Male,6543210987
C032,Pihu Sharma,49,Female,5432109876
C033,Raghav Gupta,29,Male,4321098765
C034,Riya Kapoor,40,Female,3210987654
C035,Rohan Tiwari,18,Male,2109876543
C036,Saisha Mehra,54,Female,1098765432
C037,Samar Reddy,26,Male,9876543210
C038,Sanya Yadav,37,Female,8765432109
C039,Shiv Verma,22,Male,7654321098
C040,Sneha Patel,60,Female,6543210987
C041,Soham Sharma,32,Male,5432109876
C042,Swara Kapoor,28,Female,4321098765
C043,Tanish Verma,45,Male,3210987654
C044,Tara Gupta,19,Female,2109876543
C045,Udayan Patel,56,Male,1098765432
C046,Umang Mehra,34,Female,9876543210
C047,Vaishnavi Singh,25,Female,8765432109
C048,Veer Yadav,50,Male,7654321098
C049,Vidhi Tiwari,23,Female,6543210987
C050,Yuvan Sharma,39,Male,5432109876
C051,Zara Kapoor,30,Female,4321098765
C052,Aarav Mehra,48,Male,3210987654
C053,Anvi Patel,20,Female,2109876543
C054,Aryan Verma,57,Male,1098765432
C055,Ishita Yadav,29,Female,9876543210
C056,Kabir Tiwari,38,Male,8765432109
C057,Kaira Gupta,26,Female,7654321098
C058,Krish Verma,55,Male,6543210987
C059,Kriti Sharma,42,Female,5432109876
C060,Arjun Yadav,17,Male,4321098765
C061,Isha Kapoor,31,Female,3210987654
C062,Kunal Patel,46,Male,2109876543
C063,Lavanya Verma,21,Female,1098765432
C064,Manan Mehra,59,Male,9876543210
C065,Nandini Gupta,33,Female,8765432109
C066,Nishant Yadav,44,Male,7654321098
C067,Prisha Tiwari,28,Female,6543210987
